,author,title,entity,kind,total
1,"Atwood, Margaret",Handmaid's Tale,Adam,person,0.5
2,"Atwood, Margaret",Handmaid's Tale,Alma,person,4
3,"Atwood, Margaret",Handmaid's Tale,Angel,person,4
4,"Atwood, Margaret",Handmaid's Tale,Angela,person,3
5,"Atwood, Margaret",Handmaid's Tale,Aunt Helena,person,5
6,"Atwood, Margaret",Handmaid's Tale,Aunt Lydia,person,2.52173913
7,"Atwood, Margaret",Handmaid's Tale,Elizabeth,person,1.4
8,"Atwood, Margaret",Handmaid's Tale,Helen,person,5
9,"Atwood, Margaret",Handmaid's Tale,Howe,person,6
10,"Atwood, Margaret",Handmaid's Tale,Janine,person,0.447368421
11,"Atwood, Margaret",Handmaid's Tale,Ladies,person,6
12,"Atwood, Margaret",Handmaid's Tale,Lord,person,6.666666667
13,"Atwood, Margaret",Handmaid's Tale,Luke,person,0.5625
14,"Atwood, Margaret",Handmaid's Tale,Martha,person,1.25
15,"Atwood, Margaret",Handmaid's Tale,Merry Widow,person,2
17,"Atwood, Margaret",Handmaid's Tale,Moira,person,0.5
18,"Atwood, Margaret",Handmaid's Tale,Nick,person,-1.75
19,"Atwood, Margaret",Handmaid's Tale,Ofglen,person,1.105263158
20,"Atwood, Margaret",Handmaid's Tale,Rachel,person,1
21,"Atwood, Margaret",Handmaid's Tale,Raymond Chandler,person,-5
22,"Atwood, Margaret",Handmaid's Tale,Rita,person,-0.434782609
23,"Atwood, Margaret",Handmaid's Tale,Saint Serena,person,2
24,"Atwood, Margaret",Handmaid's Tale,Serena,person,3.69047619
25,"Atwood, Margaret",Handmaid's Tale,Warren,person,3
26,"Bradbury, Ray",Fahrenheit 451,Beatty,person,0
27,"Bradbury, Ray",Fahrenheit 451,Ben,person,0
28,"Bradbury, Ray",Fahrenheit 451,Captain,person,4.333333333
29,"Bradbury, Ray",Fahrenheit 451,Clarisse,person,2.333333333
30,"Bradbury, Ray",Fahrenheit 451,Faber,person,-0.44
31,"Bradbury, Ray",Fahrenheit 451,Fred Clement,person,4
32,"Bradbury, Ray",Fahrenheit 451,Granger,person,-0.75
33,"Bradbury, Ray",Fahrenheit 451,Guy,person,-1.036585366
34,"Bradbury, Ray",Fahrenheit 451,Juan Ramon Jimenez Ramon,person,6
35,"Bradbury, Ray",Fahrenheit 451,Ladies,person,-1
36,"Bradbury, Ray",Fahrenheit 451,Lord,person,0.5
37,"Bradbury, Ray",Fahrenheit 451,Louis,person,12
38,"Bradbury, Ray",Fahrenheit 451,Mildred Montag,person,-0.235294118
39,"Bradbury, Ray",Fahrenheit 451,Mr Faber,person,-3
40,"Bradbury, Ray",Fahrenheit 451,Mrs Black,person,0
41,"Bradbury, Ray",Fahrenheit 451,Mrs Phelps,person,-3
42,"Bradbury, Ray",Fahrenheit 451,Nicholas Ridley,person,-1
43,"Bradbury, Ray",Fahrenheit 451,Ruth,person,24
44,"Bradbury, Ray",Fahrenheit 451,Sam,person,-1
45,"Bradbury, Ray",Fahrenheit 451,Thomas Hardy,person,4
46,"Le Guin, Ursula K.",Word for World is Forest,Aabi,person,0.769230769
47,"Le Guin, Ursula K.",Word for World is Forest,Ben,person,-0.461538462
48,"Le Guin, Ursula K.",Word for World is Forest,Benton,person,-1.833333333
49,"Le Guin, Ursula K.",Word for World is Forest,Captain,person,3.272727273
50,"Le Guin, Ursula K.",Word for World is Forest,"Captain
Don",person,9
51,"Le Guin, Ursula K.",Word for World is Forest,"Captain
Lyubov",person,15
52,"Le Guin, Ursula K.",Word for World is Forest,Coro Mena,person,-1
53,"Le Guin, Ursula K.",Word for World is Forest,David,person,0
54,"Le Guin, Ursula K.",Word for World is Forest,Ebor Dendep,person,-1
55,"Le Guin, Ursula K.",Word for World is Forest,Gosse,person,0.3
