,author,title,entity,kind,total
57,"Le Guin, Ursula K.",Word for World is Forest,Hunter,person,0
58,"Le Guin, Ursula K.",Word for World is Forest,Kees,person,-2
59,"Le Guin, Ursula K.",Word for World is Forest,Lepennon,person,4.461538462
60,"Le Guin, Ursula K.",Word for World is Forest,Lord,person,-0.666666667
61,"Le Guin, Ursula K.",Word for World is Forest,Lyubov,person,0.743902439
62,"Le Guin, Ursula K.",Word for World is Forest,Sam,person,-0.75
63,"Le Guin, Ursula K.",Word for World is Forest,Seiver,person,-1
64,"Le Guin, Ursula K.",Word for World is Forest,Selver,person,0.268817204
65,"Le Guin, Ursula K.",Word for World is Forest,Smith Camp,person,-0.642857143
66,"Le Guin, Ursula K.",Word for World is Forest,Smith Land,person,6
67,"Le Guin, Ursula K.",Word for World is Forest,Thele,person,0.333333333
68,"Le Guin, Ursula K.",Word for World is Forest,Tubab,person,-0.333333333
69,"Le Guin, Ursula K.",Word for World is Forest,Tuntar,person,-1.375
70,"Le Guin, Ursula K.",Word for World is Forest,"Van
Sten",person,3
71,"Orwell, George",1984,Ben,person,-1.5
72,"Orwell, George",1984,Big Brother,person,2.87804878
73,"Orwell, George",1984,Byron,person,0.5
74,"Orwell, George",1984,Charrington,person,0.8125
77,"Orwell, George",1984,Comrade Ogilvy,person,3.25
79,"Orwell, George",1984,"Goldstein


Winston",person,12
81,"Orwell, George",1984,Ingsoc,person,0.411764706
82,"Orwell, George",1984,INGSOC,person,-1
83,"Orwell, George",1984,Jones,person,-7.4
84,"Orwell, George",1984,Julia,person,1.054054054
85,"Orwell, George",1984,LT,person,-6
86,"Orwell, George",1984,Martin,person,3
87,"Orwell, George",1984,Milton,person,0.5
88,"Orwell, George",1984,Nick,person,-1.5
89,"Orwell, George",1984,O'Brien,person,0.22972973
90,"Orwell, George",1984,"Oliver
Cromwell",person,2
91,"Orwell, George",1984,Parsons,person,-0.176470588
93,"Orwell, George",1984,Saint Sebastian,person,2
94,"Orwell, George",1984,Syme,person,0.1875
95,"Orwell, George",1984,Winston,person,0.325991189
96,"Rand, Ayn",Anthem,Equality,person,2.272727273
97,"Rand, Ayn",Anthem,Liberty,person,0
