,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
10,Rokheya Shekhawat Hossein,Sultana’s Dream,28,Sister Sara,person,0,2,0,4,4,4,4,0,0,4,0
12,Rokheya Shekhawat Hossein,Sultana’s Dream,33,Sister Sara,person,0,0,3,0,3,6,6,3,0,3,0
29,"More, Thomas, Saint",Utopia,107,Americus Vesputius,person,1,3,0,3,2,5,3,1,1,2,-2
30,"More, Thomas, Saint",Utopia,108,Morton,person,0,0,0,0,0,0,3,0,0,3,3
50,"More, Thomas, Saint",Utopia,140,Peter,person,0,0,0,3,6,9,21,0,3,9,12
52,"More, Thomas, Saint",Utopia,140,Raphael,person,0,0,0,3,6,9,21,0,3,9,12
63,"More, Thomas, Saint",Utopia,160,Christian,person,2,10,4,2,10,6,20,2,2,18,14
69,"More, Thomas, Saint",Utopia,169,Peter,person,0,4,0,4,2,8,6,4,0,8,-2
71,"More, Thomas, Saint",Utopia,173,Ben,person,2,0,0,1,1,2,2,1,0,1,0
72,"More, Thomas, Saint",Utopia,176,Henry VII,person,15,10,5,10,15,20,15,5,0,15,-5
74,"More, Thomas, Saint",Utopia,176,Henry,person,15,10,5,10,15,20,15,5,0,15,-5
75,"More, Thomas, Saint",Utopia,176,Margaret,person,15,10,5,10,15,20,15,5,0,15,-5
76,"More, Thomas, Saint",Utopia,176,Henry V,person,15,10,5,10,15,20,15,5,0,15,-5
79,"More, Thomas, Saint",Utopia,184,Peter,person,15,15,5,20,25,30,40,10,5,25,10
80,"More, Thomas, Saint",Utopia,184,John Morton,person,15,15,5,20,25,30,40,10,5,25,10
81,"More, Thomas, Saint",Utopia,184,Morton,person,15,15,5,20,25,30,40,10,5,25,10
83,"More, Thomas, Saint",Utopia,184,Chancellor,person,15,15,5,20,25,30,40,10,5,25,10
89,"More, Thomas, Saint",Utopia,197,Henry VII,person,6,12,0,6,18,12,18,0,6,24,6
91,"More, Thomas, Saint",Utopia,197,Henry,person,6,12,0,6,18,12,18,0,6,24,6
92,"More, Thomas, Saint",Utopia,197,Christian,person,6,12,0,6,18,12,18,0,6,24,6
93,"More, Thomas, Saint",Utopia,197,Henry VIII,person,6,12,0,6,18,12,18,0,6,24,6
94,"More, Thomas, Saint",Utopia,197,Henry V,person,6,12,0,6,18,12,18,0,6,24,6
105,"More, Thomas, Saint",Utopia,225,Ben,person,4,8,8,8,6,12,14,8,6,8,2
115,"More, Thomas, Saint",Utopia,248,Henry VII,person,5,5,0,0,0,10,5,5,0,5,-5
117,"More, Thomas, Saint",Utopia,248,Henry,person,5,5,0,0,0,10,5,5,0,5,-5
118,"More, Thomas, Saint",Utopia,248,Henry VIII,person,5,5,0,0,0,10,5,5,0,5,-5
119,"More, Thomas, Saint",Utopia,248,Henry V,person,5,5,0,0,0,10,5,5,0,5,-5
130,"More, Thomas, Saint",Utopia,270,Henry VII,person,0,0,0,0,0,14,35,0,0,21,21
131,"More, Thomas, Saint",Utopia,270,Charles,person,0,0,0,0,0,14,35,0,0,21,21
134,"More, Thomas, Saint",Utopia,270,Henry,person,0,0,0,0,0,14,35,0,0,21,21
135,"More, Thomas, Saint",Utopia,270,Henry VIII,person,0,0,0,0,0,14,35,0,0,21,21
136,"More, Thomas, Saint",Utopia,270,Henry V,person,0,0,0,0,0,14,35,0,0,21,21
138,"More, Thomas, Saint",Utopia,273,Christian,person,0,4,0,4,4,0,10,0,0,6,10
139,"More, Thomas, Saint",Utopia,277,Peter,person,0,0,0,0,0,0,6,0,0,0,6
141,"More, Thomas, Saint",Utopia,277,Raphael,person,0,0,0,0,0,0,6,0,0,0,6
143,"More, Thomas, Saint",Utopia,283,John Colt,person,0,0,1,0,1,3,2,0,0,1,-1
151,"More, Thomas, Saint",Utopia,311,Richard III,person,5,5,5,5,0,5,5,5,5,0,0
