,author,title,entity,kind,total,gender
1,"Cavendish, Margaret",Blazing World,Alexander,person,28,m
2,"Cavendish, Margaret",Blazing World,Ben,person,6,m
3,"Cavendish, Margaret",Blazing World,Edward,person,6,m
4,"Cavendish, Margaret",Blazing World,Epicure Mammon,person,6,m
5,"Cavendish, Margaret",Blazing World,Jack,person,-6,m
6,"Cavendish, Margaret",Blazing World,Kelly,person,5,m
7,"Cavendish, Margaret",Blazing World,Lord,person,17.92857143,m
8,"Cavendish, Margaret",Blazing World,Margaret,person,8,f
9,"Cavendish, Margaret",Blazing World,Moses,person,6,m
10,"Cavendish, Margaret",Blazing World,Noble,person,27.9,m
12,"Cavendish, Margaret",Blazing World,Van,person,5,m
13,"Cavendish, Margaret",Blazing World,Warr,person,20.5,m
14,"Cavendish, Margaret",Blazing World,Your Majesty,person,-1,f
17,"Gilman, Charlotte Perkins",Herland,D Bacon,person,1,m
18,"Gilman, Charlotte Perkins",Herland,Ellador,person,1.972222222,f
19,"Gilman, Charlotte Perkins",Herland,Jeff,person,2.421052632,m
20,"Gilman, Charlotte Perkins",Herland,Somel,person,1.875,f
21,"Gilman, Charlotte Perkins",Herland,Terry,person,0.933333333,m
22,"Gilman, Charlotte Perkins",Herland,Zava,person,2,f
23,"More, Thomas, Saint",Utopia,Chancellor,person,9,m
24,"More, Thomas, Saint",Utopia,Charles,person,10,m
25,"More, Thomas, Saint",Utopia,Edward,person,0,m
26,"More, Thomas, Saint",Utopia,Euripides,person,0,m
27,"More, Thomas, Saint",Utopia,George Temse,person,3,m
28,"More, Thomas, Saint",Utopia,Lord,person,9,m
29,"More, Thomas, Saint",Utopia,Peter,person,14.25,m
30,"More, Thomas, Saint",Utopia,Raphael,person,5.333333333,m
31,"More, Thomas, Saint",Utopia,Thomas,person,10,m
42,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara,person,3,f
