,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
7684,"Le Guin, Ursula K.",The Word for World is Forest,12836,Selver,person,3,0,0,0,0,3,6,3,0,6,3
7685,"Le Guin, Ursula K.",The Word for World is Forest,12836,Lepennon,person,3,0,0,0,0,3,6,3,0,6,3
7687,"Le Guin, Ursula K.",The Word for World is Forest,12839,Selver,person,2,0,2,0,0,2,0,2,0,0,-2
7694,"Le Guin, Ursula K.",The Word for World is Forest,12853,Aabi,person,0,2,0,0,0,0,0,0,0,0,0
7701,"Le Guin, Ursula K.",The Word for World is Forest,12869,Gosse,person,4,0,4,4,0,4,0,4,0,0,-4
7706,"Le Guin, Ursula K.",The Word for World is Forest,12871,Howe,person,0,0,0,0,0,0,0,0,0,3,0
7711,"Le Guin, Ursula K.",The Word for World is Forest,12886,Thele,person,2,2,2,2,0,2,0,2,2,0,-2
7716,"Le Guin, Ursula K.",The Word for World is Forest,12901,Selver,person,0,0,0,0,0,0,1,0,0,1,1
7717,"Le Guin, Ursula K.",The Word for World is Forest,12902,Selver,person,0,0,0,1,0,1,1,1,0,0,0
7723,"Le Guin, Ursula K.",The Word for World is Forest,12918,Aabi,person,0,0,0,0,1,0,1,0,0,0,1
7725,"Le Guin, Ursula K.",The Word for World is Forest,12920,Tuntar,person,3,0,0,6,0,3,0,3,0,0,-3
7740,"Le Guin, Ursula K.",The Word for World is Forest,12948,Selver,person,0,0,0,0,0,1,0,0,0,0,-1
7744,"Le Guin, Ursula K.",The Word for World is Forest,12952,Howe,person,0,2,2,2,2,2,2,0,2,2,0
7761,"Le Guin, Ursula K.",The Word for World is Forest,12980,Lyubov,person,1,0,0,1,0,1,0,0,1,0,-1
7763,"Le Guin, Ursula K.",The Word for World is Forest,12988,Lyubov,person,0,0,0,0,0,2,0,2,2,0,-2
7768,"Le Guin, Ursula K.",The Word for World is Forest,12993,Captain,person,0,0,0,0,1,1,3,0,0,1,2
7770,"Le Guin, Ursula K.",The Word for World is Forest,12998,Selver,person,0,0,0,0,0,0,1,0,0,1,1
7773,"Le Guin, Ursula K.",The Word for World is Forest,13004,Captain,person,0,0,0,0,0,0,4,0,2,2,4
7776,"Le Guin, Ursula K.",The Word for World is Forest,13005,Gosse,person,9,3,6,6,3,9,9,9,3,3,0
7779,"Le Guin, Ursula K.",The Word for World is Forest,13008,Ben,person,1,0,0,1,0,1,0,0,0,0,-1
7784,"Le Guin, Ursula K.",The Word for World is Forest,13012,Gosse,person,0,0,0,0,0,0,5,0,0,5,5
7785,"Le Guin, Ursula K.",The Word for World is Forest,13012,Selver,person,0,0,0,0,0,0,5,0,0,5,5
7788,"Le Guin, Ursula K.",The Word for World is Forest,13020,Ben,person,1,0,1,1,0,3,0,1,0,0,-3
7798,"Le Guin, Ursula K.",The Word for World is Forest,13038,Selver,person,1,0,1,1,0,1,0,1,0,0,-1
7799,"Le Guin, Ursula K.",The Word for World is Forest,13040,Selver,person,0,2,0,0,1,0,1,0,0,0,1
7802,"Le Guin, Ursula K.",The Word for World is Forest,13043,Sam,person,1,1,0,1,0,2,2,0,0,3,0
7804,"Le Guin, Ursula K.",The Word for World is Forest,13046,Lepennon,person,0,2,2,0,2,4,2,2,0,2,-2
7805,"Le Guin, Ursula K.",The Word for World is Forest,13047,Gosse,person,3,3,0,3,3,3,6,3,0,3,3
7806,"Le Guin, Ursula K.",The Word for World is Forest,13047,Selver,person,3,3,0,3,3,3,6,3,0,3,3
7809,"Le Guin, Ursula K.",The Word for World is Forest,13062,Lyubov,person,0,0,0,0,0,0,4,0,0,0,4
7810,"Le Guin, Ursula K.",The Word for World is Forest,13062,Gosse,person,0,0,0,0,0,0,4,0,0,0,4
7811,"Le Guin, Ursula K.",The Word for World is Forest,13062,Selver,person,0,0,0,0,0,0,4,0,0,0,4
7823,"Le Guin, Ursula K.",The Word for World is Forest,13075,Selver,person,1,0,0,1,0,1,0,1,0,0,-1
7824,"Le Guin, Ursula K.",The Word for World is Forest,13076,Lyubov,person,1,1,0,1,0,1,0,0,0,0,-1
7826,"Le Guin, Ursula K.",The Word for World is Forest,13077,Selver,person,0,0,0,0,0,4,2,0,2,0,-2
7839,"Le Guin, Ursula K.",The Word for World is Forest,13097,Lepennon,person,0,2,0,0,2,2,4,0,0,2,2
7843,"Le Guin, Ursula K.",The Word for World is Forest,13106,Aabi,person,0,0,0,0,0,0,0,0,2,0,0
7844,"Le Guin, Ursula K.",The Word for World is Forest,13106,David,person,0,0,0,0,0,0,0,0,2,0,0
7848,"Le Guin, Ursula K.",The Word for World is Forest,13107,Selver,person,4,4,4,0,4,4,4,0,4,4,0
