,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
37,"More, Thomas, Saint",Utopia,115,Euripides,person,0,1,0,0,0,0,0,0,0,0,0
38,"More, Thomas, Saint",Utopia,116,Peter,person,0,2,0,0,0,0,2,0,0,0,2
44,"More, Thomas, Saint",Utopia,124,Chancellor,person,0,0,3,0,0,3,12,0,0,12,9
45,"More, Thomas, Saint",Utopia,124,Lord,person,0,0,3,0,0,3,12,0,0,12,9
54,"More, Thomas, Saint",Utopia,145,Charles,person,0,0,0,0,0,0,10,0,0,10,10
56,"More, Thomas, Saint",Utopia,145,Thomas,person,0,0,0,0,0,0,10,0,0,10,10
60,"More, Thomas, Saint",Utopia,151,Raphael,person,1,0,1,1,0,1,1,0,0,0,0
61,"More, Thomas, Saint",Utopia,155,George Temse,person,0,2,0,0,1,1,4,1,1,1,3
70,"More, Thomas, Saint",Utopia,186,Peter,person,0,3,0,0,9,3,12,3,3,3,9
75,"More, Thomas, Saint",Utopia,194,Raphael,person,0,0,0,0,4,0,8,0,2,8,8
86,"More, Thomas, Saint",Utopia,236,Peter,person,0,9,0,0,24,0,48,0,6,33,48
106,"More, Thomas, Saint",Utopia,303,Peter,person,0,0,0,0,0,2,0,2,0,0,-2
123,"More, Thomas, Saint",Utopia,351,Edward,person,0,0,0,0,0,0,0,0,0,3,0
127,"More, Thomas, Saint",Utopia,367,Raphael,person,4,8,0,4,6,14,22,2,2,22,8
134,"Gilman, Charlotte Perkins",Herland,382,Terry,person,0,0,0,0,0,0,1,0,0,0,1
135,"Gilman, Charlotte Perkins",Herland,387,Ellador,person,0,1,0,0,0,0,0,0,0,0,0
138,"Gilman, Charlotte Perkins",Herland,402,Terry,person,0,6,0,3,0,6,3,0,0,3,-3
140,"Gilman, Charlotte Perkins",Herland,429,Terry,person,2,1,3,5,2,5,4,2,0,3,-1
141,"Gilman, Charlotte Perkins",Herland,431,Jeff,person,0,0,1,0,0,1,0,1,0,0,-1
143,"Gilman, Charlotte Perkins",Herland,436,Jeff,person,0,0,0,0,0,0,1,0,0,0,1
144,"Gilman, Charlotte Perkins",Herland,439,Terry,person,0,0,0,0,0,0,1,0,0,0,1
145,"Gilman, Charlotte Perkins",Herland,442,Terry,person,0,0,0,0,0,0,1,1,0,1,1
154,"Gilman, Charlotte Perkins",Herland,466,Terry,person,1,0,0,1,1,2,1,1,0,1,-1
156,"Gilman, Charlotte Perkins",Herland,469,Jeff,person,0,1,0,0,1,1,1,0,1,1,0
159,"Gilman, Charlotte Perkins",Herland,492,Terry,person,3,3,3,3,3,6,6,3,3,3,0
161,"Gilman, Charlotte Perkins",Herland,492,Ellador,person,3,3,3,3,3,6,6,3,3,3,0
162,"Gilman, Charlotte Perkins",Herland,493,Jeff,person,0,4,0,0,4,0,6,0,2,4,6
164,"Gilman, Charlotte Perkins",Herland,494,Ellador,person,0,1,0,0,1,0,1,0,0,1,1
177,"Gilman, Charlotte Perkins",Herland,530,Terry,person,0,0,1,1,0,2,3,1,0,1,1
187,"Gilman, Charlotte Perkins",Herland,562,Ellador,person,0,0,0,0,1,0,1,0,1,0,1
189,"Gilman, Charlotte Perkins",Herland,564,Somel,person,0,0,0,0,0,0,3,0,0,0,3
190,"Gilman, Charlotte Perkins",Herland,564,Ellador,person,0,0,0,0,0,0,3,0,0,0,3
192,"Gilman, Charlotte Perkins",Herland,565,Somel,person,0,0,0,0,0,2,0,0,0,0,-2
194,"Gilman, Charlotte Perkins",Herland,566,Ellador,person,0,0,0,0,0,0,2,0,0,2,2
212,"Gilman, Charlotte Perkins",Herland,614,Somel,person,0,0,0,0,0,0,1,0,0,0,1
214,"Gilman, Charlotte Perkins",Herland,626,Somel,person,0,0,0,0,0,0,1,0,0,0,1
220,"Gilman, Charlotte Perkins",Herland,647,Ellador,person,2,0,2,2,2,4,2,2,0,0,-2
233,"Gilman, Charlotte Perkins",Herland,662,Ellador,person,0,2,0,0,6,0,6,0,0,4,6
242,"Gilman, Charlotte Perkins",Herland,677,Ellador,person,0,0,1,0,0,2,0,2,0,0,-2
309,"Gilman, Charlotte Perkins",Herland,876,Jeff,person,0,1,0,0,1,0,2,0,1,0,2
311,"Gilman, Charlotte Perkins",Herland,884,Terry,person,2,0,2,1,0,2,0,0,0,0,-2
313,"Gilman, Charlotte Perkins",Herland,900,Terry,person,0,0,0,1,0,0,1,0,0,0,1
318,"Gilman, Charlotte Perkins",Herland,915,Terry,person,0,0,0,0,0,0,1,0,0,0,1
321,"Gilman, Charlotte Perkins",Herland,918,Jeff,person,3,0,3,3,3,3,3,0,6,3,0
325,"Gilman, Charlotte Perkins",Herland,924,Zava,person,0,0,0,0,2,0,2,0,0,0,2
