"","author","title","entity","kind","total"
"76","Le Guin, Ursula K.","The Word for World is Forest","Lyubov.","person",0.454545454545455
"77","Le Guin, Ursula K.","The Word for World is Forest","Sam","person",1.8
"78","Le Guin, Ursula K.","The Word for World is Forest","Seiver","person",-0.333333333333333
"79","Le Guin, Ursula K.","The Word for World is Forest","Selver","person",0.0905923344947735
"80","Le Guin, Ursula K.","The Word for World is Forest","Thele","person",0.5
"81","Le Guin, Ursula K.","The Word for World is Forest","Tubab","person",0.666666666666667
"82","Le Guin, Ursula K.","The Word for World is Forest","Van
Sten","person",1
"83","Orwell, George","1984","Adam","person",0
"84","Orwell, George","1984","Byron","person",0
"85","Orwell, George","1984","Charringtons","person",0.111111111111111
"86","Orwell, George","1984","Clarisse","person",5
"87","Orwell, George","1984","Don","person",0.375
"88","Orwell, George","1984","Goldstein","person",-0.362068965517241
"89","Orwell, George","1984","Julia","person",0.283018867924528
"90","Orwell, George","1984","Lord","person",1
"91","Orwell, George","1984","Nick","person",1
"92","Orwell, George","1984","Nick.","person",1
"93","Orwell, George","1984","O'Brien","person",0
"94","Orwell, George","1984","Parsons","person",0
"95","Orwell, George","1984","Ruth","person",-1
"96","Orwell, George","1984","Syme","person",-0.2
"97","Orwell, George","1984","Winston","person",0.110419906687403
"98","Rand, Ayn","Anthem","Equality","person",1.70588235294118
"99","Rand, Ayn","Anthem","Liberty","person",1.14285714285714
