,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
6,"Orwell, George",1984,12,O'Brien,person,0,0,0,0,0,2,0,1,0,0,-2
7,"Orwell, George",1984,13,Winston,person,0,0,0,0,3,3,6,0,3,3,3
8,"Orwell, George",1984,13,Parsons,person,0,0,0,0,3,3,6,0,3,3,3
16,"Orwell, George",1984,18,Winston,person,1,0,0,0,0,1,0,1,0,0,-1
27,"Orwell, George",1984,37,Winston,person,0,0,0,0,0,0,1,0,0,1,1
29,"Orwell, George",1984,41,Howe,person,0,6,0,2,4,0,4,0,0,4,4
46,"Orwell, George",1984,66,O'Brien,person,0,1,0,0,0,0,0,0,0,0,0
48,"Orwell, George",1984,72,Winston,person,0,0,0,0,0,0,6,0,0,6,6
49,"Orwell, George",1984,72,Julia,person,0,0,0,0,0,0,6,0,0,6,6
59,"Orwell, George",1984,88,Big Brother,person,0,2,0,0,0,0,2,0,0,2,2
66,"Orwell, George",1984,98,Winston,person,4,4,4,2,0,6,0,4,0,0,-6
83,"Orwell, George",1984,121,O'Brien,person,0,0,0,0,0,1,0,0,1,0,-1
104,"Orwell, George",1984,149,Winston,person,0,0,0,0,1,0,1,0,0,0,1
111,"Orwell, George",1984,157,O'Brien,person,0,2,0,0,2,0,2,0,0,0,2
113,"Orwell, George",1984,165,Winston,person,0,1,0,0,0,0,1,0,0,1,1
115,"Orwell, George",1984,169,Winston,person,0,1,0,0,0,1,0,0,0,0,-1
122,"Orwell, George",1984,175,Winston,person,0,1,0,0,0,0,1,0,0,0,1
131,"Orwell, George",1984,184,Charrington,person,0,0,0,2,2,2,2,2,0,2,0
143,"Orwell, George",1984,195,Winston,person,0,0,0,0,0,0,2,0,0,2,2
146,"Orwell, George",1984,204,Winston,person,0,2,0,0,0,0,0,0,0,0,0
147,"Orwell, George",1984,204,O'Brien,person,0,2,0,0,0,0,0,0,0,0,0
152,"Orwell, George",1984,213,Winston,person,0,1,0,0,0,0,1,0,0,0,1
155,"Orwell, George",1984,218,O'Brien,person,0,0,0,0,2,0,2,0,0,0,2
173,"Orwell, George",1984,257,Winston,person,0,1,0,0,1,0,1,0,0,1,1
174,"Orwell, George",1984,261,O'Brien,person,1,0,0,1,0,1,0,1,0,0,-1
176,"Orwell, George",1984,266,Winston,person,0,0,0,0,0,2,0,0,0,0,-2
177,"Orwell, George",1984,266,O'Brien,person,0,0,0,0,0,2,0,0,0,0,-2
183,"Orwell, George",1984,276,Winston,person,2,0,0,2,0,2,0,0,0,0,-2
190,"Orwell, George",1984,287,Howe,person,0,2,0,0,2,0,2,0,2,2,2
191,"Orwell, George",1984,289,Charrington,person,0,0,0,2,0,2,0,2,0,2,-2
201,"Orwell, George",1984,305,Big Brother,person,0,0,0,0,0,0,2,0,0,1,2
202,"Orwell, George",1984,306,Winston,person,2,0,2,3,0,3,2,1,2,0,-1
210,"Orwell, George",1984,321,Julia,person,0,8,0,0,8,0,8,0,4,4,8
211,"Orwell, George",1984,321,Charrington,person,0,8,0,0,8,0,8,0,4,4,8
212,"Orwell, George",1984,321,O'Brien,person,0,8,0,0,8,0,8,0,4,4,8
228,"Orwell, George",1984,347,Winston,person,0,3,0,0,0,0,0,0,3,0,0
233,"Orwell, George",1984,353,Winston,person,0,0,0,0,0,0,1,0,0,0,1
235,"Orwell, George",1984,357,O'Brien,person,0,1,0,1,0,1,0,0,1,0,-1
236,"Orwell, George",1984,367,Big Brother,person,0,0,0,0,0,0,6,0,2,4,6
237,"Orwell, George",1984,367,Comrade Ogilvy,person,0,0,0,0,0,0,6,0,2,4,6
245,"Orwell, George",1984,378,Winston,person,0,0,0,0,0,0,2,0,0,0,2
249,"Orwell, George",1984,385,Winston,person,0,0,0,0,2,0,4,0,0,4,4
265,"Orwell, George",1984,411,O'Brien,person,0,2,0,1,1,0,1,0,1,1,1
273,"Orwell, George",1984,421,Jones,person,6,0,0,6,0,12,0,6,0,0,-12
275,"Orwell, George",1984,421,Ruth,person,6,0,0,6,0,12,0,6,0,0,-12
279,"Orwell, George",1984,426,Winston,person,0,0,1,0,0,1,0,0,0,0,-1
281,"Orwell, George",1984,431,Winston,person,0,2,0,0,0,0,2,0,0,1,2
293,"Orwell, George",1984,443,Big Brother,person,0,0,0,0,1,0,2,0,0,2,2
294,"Orwell, George",1984,446,Winston,person,2,0,2,2,0,2,0,2,0,0,-2
313,"Orwell, George",1984,470,Charrington,person,0,0,0,0,0,0,3,0,0,0,3
316,"Orwell, George",1984,471,Winston,person,6,6,6,6,0,6,6,6,0,0,0
317,"Orwell, George",1984,471,Julia,person,6,6,6,6,0,6,6,6,0,0,0
318,"Orwell, George",1984,471,Charrington,person,6,6,6,6,0,6,6,6,0,0,0
324,"Orwell, George",1984,481,Ampleforth,person,1,1,4,1,1,4,4,0,1,1,0
338,"Orwell, George",1984,511,Goldstein,person,2,0,2,2,0,2,0,2,0,0,-2
340,"Orwell, George",1984,512,Julia,person,0,2,0,2,2,2,4,2,0,4,2
343,"Orwell, George",1984,516,O'Brien,person,1,0,0,0,1,1,1,0,0,1,0
351,"Orwell, George",1984,523,Goldstein,person,2,2,2,0,2,8,6,0,0,4,-2
353,"Orwell, George",1984,525,O'Brien,person,0,0,0,2,0,0,0,0,0,0,0
359,"Orwell, George",1984,534,Winston,person,0,3,0,0,3,0,6,0,3,0,6
364,"Orwell, George",1984,542,Big Brother,person,0,0,0,0,0,0,2,0,0,2,2
370,"Orwell, George",1984,547,Winston,person,1,0,0,1,0,4,1,2,0,0,-3
380,"Orwell, George",1984,568,Winston,person,0,3,0,0,0,3,6,0,0,0,3
392,"Orwell, George",1984,595,O'Brien,person,0,0,0,0,0,1,0,1,0,0,-1
