,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
17,"Orwell, George",1984,31,Julia,person,0,0,0,0,0,0,6,0,0,0,6
20,"Orwell, George",1984,32,Winston,person,0,3,0,0,0,3,6,0,0,0,3
32,"Orwell, George",1984,53,Winston,person,1,0,0,0,0,1,0,0,0,0,-1
33,"Orwell, George",1984,54,O'Brien,person,0,0,0,0,0,1,0,1,0,0,-1
35,"Orwell, George",1984,58,Chapter III,person,2,0,2,2,0,2,2,0,0,0,0
39,"Orwell, George",1984,61,Big Brother,person,0,0,0,0,0,0,1,0,0,1,1
42,"Orwell, George",1984,70,Winston,person,0,2,0,0,0,0,0,0,0,0,0
43,"Orwell, George",1984,75,Parsons,person,0,0,0,0,0,1,2,0,0,0,1
44,"Orwell, George",1984,76,Winston,person,0,1,0,0,2,1,2,1,0,3,1
49,"Orwell, George",1984,87,Winston,person,2,2,2,0,0,2,0,0,2,2,-2
61,"Orwell, George",1984,100,O'Brien,person,0,0,1,0,0,0,0,0,1,1,0
72,"Orwell, George",1984,120,O'Brien,person,0,0,0,0,0,1,0,1,0,0,-1
74,"Orwell, George",1984,121,Cock Robin,person,2,2,2,2,0,2,0,2,2,0,-2
76,"Orwell, George",1984,125,Goldstein,person,0,8,0,6,2,4,6,2,4,2,2
81,"Orwell, George",1984,132,Julia,person,0,0,0,0,0,3,0,3,0,0,-3
89,"Orwell, George",1984,148,Winston,person,0,1,0,0,1,0,1,0,0,1,1
91,"Orwell, George",1984,151,O'Brien,person,0,2,0,0,0,2,0,0,0,0,-2
95,"Orwell, George",1984,158,Ingsoc,person,0,0,0,0,0,3,9,0,0,6,6
99,"Orwell, George",1984,164,Winston,person,0,1,1,1,0,1,1,0,1,0,0
107,"Orwell, George",1984,183,Julia,person,32,32,28,28,4,56,48,32,20,40,-8
116,"Orwell, George",1984,195,Winston,person,0,0,0,2,0,2,1,2,0,1,-1
117,"Orwell, George",1984,199,Julia,person,2,2,2,2,0,2,2,2,0,2,0
120,"Orwell, George",1984,203,Julia,person,0,0,0,0,2,0,2,0,0,0,2
145,"Orwell, George",1984,256,Winston,person,0,0,0,0,0,0,0,0,2,0,0
151,"Orwell, George",1984,262,Winston,person,2,0,2,0,0,2,0,2,0,0,-2
158,"Orwell, George",1984,272,Julia,person,0,3,0,0,0,0,0,0,0,0,0
161,"Orwell, George",1984,274,O'Brien,person,1,1,0,1,0,2,0,1,0,0,-2
169,"Orwell, George",1984,291,Big Brother,person,0,1,0,0,1,1,6,1,0,4,5
173,"Orwell, George",1984,299,O'Brien,person,0,1,0,0,0,1,3,1,0,1,2
179,"Orwell, George",1984,308,Parsons,person,6,2,6,6,2,6,4,4,2,0,-2
181,"Orwell, George",1984,313,Big Brother,person,0,6,0,0,0,0,4,0,0,4,4
193,"Orwell, George",1984,332,Winston,person,0,2,0,0,0,4,0,0,0,0,-4
196,"Orwell, George",1984,341,Winston,person,2,0,0,6,0,6,0,4,6,0,-6
199,"Orwell, George",1984,345,Winston,person,0,0,0,0,0,1,0,0,0,0,-1
